product_name,product_type,brand,notable_effects,skintype,price,description,labels,Sensitive,Combination,Oily,Dry,Normal
Khadi Natural Radiance Cream #1,Cleanser,Himalaya,"Glow, Refreshing, Soothing",Normal,Rs 859,"This mask helps with Deep Clean, Nourishing and suits Combination skin.",13,1,1,0,0,0
Forest Essentials Blush & Glow Face Wash #2,Face Wash,Himalaya,"Hydrating, Brightening, Acne-Free",Oily,Rs 716,"This face wash helps with Nourishing, Deep Clean and suits Combination skin.",17,1,0,0,1,1
VLCC Skin Whitening Gel Cream #3,Cream,Biotique,"Glow, Brightening, Hydrating",Normal,Rs 648,"This face wash helps with Pore-Care, Deep Clean and suits Combination skin.",19,0,1,0,0,0
Lakme Skin Brightening Face Wash #4,Cleanser,VLCC,"Deep Clean, Nourishing, Refreshing",Normal,Rs 221,"This face wash helps with Brightening, Nourishing and suits Normal skin.",14,0,0,1,1,1
Lakme Radiance Cream #5,Gel,Patanjali,"Brightening, Anti-Aging, Deep Clean",Oily,Rs 307,"This face wash helps with Anti-Aging, Nourishing and suits Normal skin.",10,0,1,1,1,0
Himalaya Herbal Face Wash #6,Cream,Himalaya,"Anti-Aging, Nourishing, Pore-Care",Oily,Rs 566,"This cream helps with Acne-Free, Anti-Aging and suits Sensitive skin.",12,0,0,0,0,1
Patanjali Skin Brightening Face Wash #7,Face Wash,Mamaearth,"Nourishing, Anti-Aging, Hydrating",Normal,Rs 447,"This cleanser helps with Brightening, Deep Clean and suits Oily skin.",13,1,1,0,1,1
Patanjali Skin Brightening Face Wash #8,Mask,Himalaya,"Pore-Care, Refreshing, Hydrating",Combination,Rs 846,"This gel helps with Acne-Free, Hydrating and suits Oily skin.",12,0,1,0,0,1
Mamaearth Skin Whitening Gel Cream #9,Cleanser,Nykaa,"Glow, Hydrating, Refreshing",Oily,Rs 325,"This cream helps with Hydrating, Glow and suits Oily skin.",12,1,1,0,0,0
Mamaearth Vitamin C Face Wash #10,Gel,Khadi Natural,"Nourishing, Soothing, Brightening",Combination,Rs 111,"This mask helps with Soothing, Nourishing and suits Oily skin.",18,1,1,0,0,1
Patanjali Neem Face Wash #11,Gel,VLCC,"Hydrating, Refreshing, Anti-Aging",Oily,Rs 512,"This cream helps with Brightening, Soothing and suits Sensitive skin.",17,0,1,1,0,0
Patanjali Aloe Vera Gel #12,Cream,Lotus Herbals,"Brightening, Hydrating, Deep Clean",Sensitive,Rs 327,"This cleanser helps with Glow, Soothing and suits Normal skin.",20,1,1,0,0,1
Khadi Natural Radiance Cream #13,Cleanser,Khadi Natural,"Acne-Free, Pore-Care, Anti-Aging",Combination,Rs 398,"This mask helps with Soothing, Acne-Free and suits Dry skin.",15,1,0,1,1,0
Lakme Vitamin C Face Wash #14,Gel,Lotus Herbals,"Nourishing, Brightening, Hydrating",Combination,Rs 602,"This face wash helps with Glow, Hydrating and suits Dry skin.",12,0,0,0,0,0
Biotique Herbal Face Wash #15,Cleanser,Mamaearth,"Anti-Aging, Acne-Free, Brightening",Combination,Rs 388,"This cream helps with Pore-Care, Brightening and suits Sensitive skin.",18,1,1,1,0,1
Forest Essentials Potion Face Wash #16,Face Wash,Nykaa,"Glow, Brightening, Deep Clean",Oily,Rs 448,"This cleanser helps with Brightening, Deep Clean and suits Combination skin.",11,0,1,1,0,1
